paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Sengupta, Ayan, et al.	Social, economic, and demographic factors drive the emergence of Hinglish code-mixing on social media.	Humanities and Social Sciences Communications	11.1 (2024): 1-12.	https://www.nature.com/articles/s41599-024-03058-6	DOI: https://doi.org/10.1057/s41599-024-03058-6	[Impact Factor: 3.5]
SUKHSANDESH:	An Avatar Therapeutic Question Answering Platform for Sexual Education in Rural India.	-	-	https://arxiv.org/abs/2405.01858	DOI: https://doi.org/10.48550/arXiv.2405.01858	-
David, Sharel Singh, et al.	A scoping review of the role of artificial intelligence in supporting healthcare workers’ mental wellbeing.	-	(2024).	https://osf.io/mrh2v/resources	Link to the Paper	-
Juneja, Gurusha, Subhabrata Dutta, and Tanmoy Chakraborty.	LM2 : A Simple Society of Language Models Solves Complex Reasoning.	arXiv preprint arXiv:	2404.02255 (2024).	https://arxiv.org/abs/2404.02255	DOI: https://doi.org/10.48550/arXiv.2404.02255	-
Rai, Priyadarshini, et al.	Literature mining discerns latent disease–gene relationships.	Bioinformatics	40.4 (2024): btae185.	https://academic.oup.com/bioinformatics/article/40/4/btae185/7645045	DOI: https://doi.org/10.1093/bioinformatics/btae185	[Impact Factor: 5.8]
Roy, Suman, et al.	Machine learning techniques for word-based text similarity determinations.	U.S. Patent No.	11,941,357.00	https://patents.google.com/patent/US11941357B2/en	Link to the Paper	-
Soni, Sanjana, et al.	Synthetic Data Generation and Joint Learning for Robust Code-Mixed Translation."	arXiv preprint arXiv:	2403.16771 (2024).	https://ieeexplore.ieee.org/abstract/document/10477442	DOI: 10.1109/TCSS.2024.3360378	[Impact Factor: 3.9]
Dutta, Subhabrata, et al.	Frugal LMs Trained to Invoke Symbolic Solvers Achieve Parameter-Efficient Arithmetic Reasoning.	Proceedings of the AAAI Conference on Artificial Intelligence.	Vol. 38. No. 16. 2024.	https://ojs.aaai.org/index.php/AAAI/article/view/29750	DOI: https://doi.org/10.1609/aaai.v38i16.29750	-
Barrón-Cedeño, Alberto, et al.	The CLEF-2024 CheckThat! Lab: Check-Worthiness, Subjectivity, Persuasion, Roles, Authorities, and Adversarial Robustness.	European Conference on Information Retrieval. Cham: Springer Nature Switzerland,	2024	https://link.springer.com/chapter/10.1007/978-3-031-56069-9_62	DOI: https://doi.org/10.1007/978-3-031-56069-9_62	-
Sharma, Shivam, et al.	Emotion-Aware Multimodal Fusion for Meme Emotion Detection.	IEEE Transactions on Affective Computing (2024).	-	https://ieeexplore.ieee.org/abstract/document/10475492	DOI: 10.1109/TAFFC.2024.3378698	[Impact Factor: 11.2]
Sareen, Karan, et al.	Deep learning solar forecasting for green hydrogen production in India: A case study.	International Journal of Hydrogen Energy 50 (2024):	334- 351.	https://www.sciencedirect.com/science/article/pii/S0360319923045111	DOI: https://doi.org/10.1016/j.ijhydene.2023.08.323	[Impact Factor: 7.2]
Sareen, Karan, et al.	A robust De-Noising Autoencoder imputation and VMD algorithm based deep learning technique for short-term wind speed prediction ensuring cyber resilience.	" Energy 283 (2023):	129080	https://www.sciencedirect.com/science/article/pii/S036054422302474X	DOI: https://doi.org/10.1016/j.energy.2023.129080	[Impact Factor: 9]
Mishra, R. K., et al.	A fault diagnosis approach based on 2D-vibration imaging for bearing faults.	Journal of Vibration Engineering & Technologies 11.7 (2023):	3121-3134.	https://link.springer.com/article/10.1007/s42417-022-00735-1	DOI: https://doi.org/10.1007/s42417-022-00735-1	[Impact Factor: 2.7]
Saini, V. Kumar, et al.	Uncertainty aware optimal battery sizing for cloud energy storage in community microgrid.	Electric Power Systems Research 222 (2023):	109482	https://www.sciencedirect.com/science/article/pii/S0378779623003711	DOI: https://doi.org/10.1016/j.epsr.2023.109482	[Impact Factor: 3.9]
Sareen, Karan, et al.	An imputation and decomposition algorithms based integrated approach with bidirectional LSTM neural network for wind speed prediction.	Energy 278 (2023):	: 127799.	https://www.sciencedirect.com/science/article/pii/S0360544223011933	DOI: https://doi.org/10.1016/j.energy.2023.127799	[Impact Factor: 9]
Mian, Tauheed, et al.	Artificial intelligence of things based approach for anomaly detection in rotating machines.	Computers and Electrical Engineering 109 (2023):	108760	https://www.sciencedirect.com/science/article/pii/S0045790623001842	DOI: https://doi.org/10.1016/j.compeleceng.2023.108760	[Impact Factor: 4.3]
Mishra, Debasish, Bhim Singh, and Bijaya Ketan Panigrahi.	Bi-directional EV Charging with robust power controlled adaptive phase-shift algorithm.	IEEE Transactions on Vehicular Technology (2023).	-	https://ieeexplore.ieee.org/abstract/document/10164241	DOI: 10.1109/TVT.2023.3290116	[Impact Factor: 6.8]
Choudhary, Anurag, et al.	Multi-input CNN based vibro-acoustic fusion for accurate fault diagnosis of induction motor.	Engineering Applications of Artificial Intelligence 120 (2023):	105872	https://www.sciencedirect.com/science/article/pii/S0952197623000568	DOI: https://doi.org/10.1016/j.engappai.2023.105872	[Impact Factor: 8]
Kumar, Chandra Bhushan, et al.	Self-Supervised Representation Learning-Based OSA Detection Method Using Single-Channel ECG Signals.	IEEE Transactions on Instrumentation and Measurement 72 (2023):	1-15.	https://ieeexplore.ieee.org/abstract/document/10082890/authors	DOI: 10.1109/TIM.2023.3261931 [Impact Factor: 5.6]	-
Pradhan, Subarni, Bhim Singh, and Bijaya Ketan Panigrahi.	Weak grid integrated solar photovoltaic‐based distributed generation system proficient in supplying VAR requirement with current restriction	IET Energy Systems Integration 5.1 (2023):	15-28.	https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/esi2.12091	DOI: https://doi.org/10.1049/esi2.12091	[Impact Factor: 2.4]
Narang, U., K. Juneja, P. Upadhyaya, P. Salunke, T. Chakraborty, S. K. Behera, S. K. Mishra, and A. D. Suresh 2023:	Artificial intelligence predicts normal summer monsoon rainfall for India in 2023.	Scientific Reports,	14(1), 1495.	https://www.nature.com/articles/s41598-023-44284-3	DOI:10.1038/s41598-023-44284- 3.	[Impact Factor: 5.0]
Tyagi, S., X. Zhang, D. Saraswat , S. Sahany, S. K. Mishra, and D. Niyogi, 2022:	Flash Drought: Review of Concept, Prediction and the Potential for Machine Learning, Deep Learning Methods.	Earth's Future,	10(11), e2022EF002723.	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022EF002723	DOI:10.1029/2022EF002723.	[Impact Factor: 9.0]
Dash, Y., S. K. Mishra, and B. K. Panigrahi, 2018:	Predictability Assessment of Northeast Monsoon Rainfall in India Using Sea Surface Temperature Anomaly through Statistical and Machine Learning Techniques.	Environmetrics,	e2533.	https://onlinelibrary.wiley.com/doi/abs/10.1002/env.2533	DOI:10.1002/env.2533.	[Impact Factor: 1.5]
Dash, Y., S. K. Mishra, S. Sahany, and B. K. Panigrahi, 2017:	Indian Summer Monsoon Rainfall Prediction: A Comparison of Iterative and Non-Iterative Approaches.	Applied Soft Computing Journal,	70, 1122-1134.	https://www.sciencedirect.com/science/article/pii/S1568494617305379	DOI:10.1016/j.asoc.2017.08.055.	[Impact Factor: 8.3]
Dash, Y., S. K. Mishra, and B. K. Panigrahi, 2018:	Rainfall Prediction for the Kerala State of India Using Artificial Intelligence Approaches.	Computers and Electrical Engineering,	70, 66-73.	https://www.sciencedirect.com/science/article/pii/S004579061732791X	DOI:10.1016/j.compeleceng.2018.06.004.	[Impact Factor: 4.2]
Acharya, N., N. A. Shrivastava, B. K. Panigrahi, and U. C. Mohanty, 2014:	Development of an artificial neural network based multi-model ensemble to estimate the northeast monsoon rainfall over south peninsular India: An application of extreme learning machine.	Climate Dynamics,	43(5-6), 1303-1310.	https://link.springer.com/article/10.1007/s00382-013-1942-2	DOI:10.1007/s00382-013-1942-2.	[Impact Factor: 4.9]
