paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Shriyam, Shaurya, Prashant Palkar, and Amber Srivastava.	On Fulfilling the Exigent Need for Automating and Modernizing Logistics Infrastructure in India: Enabling AI-based Integration, Digitalization, and Smart Automation of Industrial Parks and Robotic Warehouses.	arXiv preprint arXiv:	2310.01077 (2023).	https://arxiv.org/abs/2310.01077	DOI: https://doi.org/10.48550/arXiv.2310.01077	-
Alfas, Muhammad, and Shaurya Shriyam.	Discrete-event simulation and exploratory analysis of network epidemiological models.	Network Modeling Analysis in Health Informatics and Bioinformatics	12.1 (2023): 30.	https://link.springer.com/article/10.1007/s13721-023-00425-2	DOI: https://doi.org/10.1007/s13721-023- 00425-2	[Impact Factor: 2.3]
Mishra, Adarsh, et al.	Heuristic-Based Service Allocation and Price Determination in Cloud Manufacturing Operations for Industrial Parks.	2023 IEEE 19th International Conference on Automation Science and Engineering (CASE). IEEE, 2023.	-	https://ieeexplore.ieee.org/abstract/document/10260508	DOI: 10.1109/CASE56687.2023.10260508	-
ST, Muhammad Alfas, and Shaurya Shriyam.	Online Heuristic Approach for Efficient Allocation of Limited COVID-19 Testing Kits.	(2022).	-	https://pdfs.semanticscholar.org/ffc9/aa7ab9e8f16999d36aabfd01202600ecd5c8.pdf	DOI: 10.5220/0010818600003117	-
Gupta, Saumya, et al.	A simulation model of breast cancer incidence, progression, diagnosis and survival in India.	2021 Winter Simulation Conference (WSC).	IEEE, 2021.	https://ieeexplore.ieee.org/abstract/document/9715414	DOI: 10.1109/WSC52266.2021.9715414	-
Shriyam, Shaurya, and Satyandra K. Gupta.	Modeling and verification of contingency resolution strategies for multi-robot missions using temporal logic.	International Journal of Advanced Robotic Systems	16.6 (2019): 1729881419885697.	https://journals.sagepub.com/doi/full/10.1177/1729881419885697	DOI: https://doi.org/10.1177/1729881419885697	[Impact Factor: 2.3]
Shriyam, Shaurya, and Satyandra K. Gupta.	Incorporation of contingency tasks in task allocation for multirobot teams.	IEEE Transactions on Automation Science and Engineering 17.2 (2019):	809-822.	https://ieeexplore.ieee.org/abstract/document/8895805	DOI: 10.1109/TASE.2019.2946688 	[Impact Factor: 5.6]
Al-Hussaini, Sarah, et al.	An alert-generation framework for improving resiliency in humansupervised, multi-agent teams	arXiv preprint arXiv:	1909.06480 (2019).	https://arxiv.org/abs/1909.06480	Link to the Paper	-
Shriyam, Shaurya, and Satyandra K. Gupta.	Modeling and analysis of subsystem interactions in robotic assembly.	International Design Engineering Technical Conferences and Computers and Information in Engineering Conference. Vol. 59179. American Society of Mechanical Engineers, 2019.	-	https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2019/59179/1069663	DOI: https://doi.org/10.48550/arXiv.1909.06480	-
Shriyam, Shaurya.	Contingency Handling in Mission Planning for Multi-Robot Teams.	Diss. University of Southern California, 2019	-	https://www.proquest.com/openview/6573b1956eca3f0359cd1d7106926549/1?cbl=51922&diss=y&pq-origsite=gscholar&parentSessionId=j0M6pfcwlDEuicqNPc38OxdvvroUsuipMSSjFt%2FdMIk%3D	Link to the Paper	-
