paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Raut, Harshal S., Amitabh Bhattacharya, and Atul Sharma.	A dual grid-based deep reinforcement learning and computational fluid dynamics method for flow control and its application to nucleate pool boiling.	International Journal of Heat and Mass Transfer 227 (2024):	125561	https://www.sciencedirect.com/science/article/pii/S0017931024003922	DOI: https://doi.org/10.1016/j.ijheatmasstransfer.2024.125561	[Impact Factor: 5.2]
Divyaprakash, et al.	A Review of Computational Modeling of Fluid-Immersed Flexible Filaments.	Journal of the Indian Institute of Science (2024):	1-25.	https://link.springer.com/article/10.1007/s41745-024-00423-x	DOI: https://doi.org/10.1007/s41745-024-00423-x	[Impact Factor: 2.3]
Mishra, Alok, Nitish Arya, and Amitabh Bhattacharya.	Wake steering of wind turbine in the presence of a two-dimensional hill.	Physics of Fluids 36.4 (2024).		https://pubs.aip.org/aip/pof/article/36/4/045125/3282808	DOI: https://doi.org/10.1063/5.0185842	[Impact Factor: 4.6]
Bhattacharya, Amitabh.	Evaluation of energy consistent entrainment rate closure for cloudy updrafts.	Environmental Fluid Mechanics (2024):	1-23.	https://link.springer.com/article/10.1007/s10652-024-09972-2	DOI: https://doi.org/10.1007/s10652-024-09972-2	[Impact Factor: 2.2]
Pradhan, Maheswar, Suryachandra A. Rao, and Amitabh Bhattacharya.	Towards a realistic MISO simulation: impact of rectification.	Climate Dynamics (2024):	1-19.	https://link.springer.com/article/10.1007/s00382-023-07053-6	DOI: https://doi.org/10.1007/s00382-023-07053-6	[Impact Factor: 4.6]
Jaiswal, Ashutosh Kumar, Anupam Dewan, and Amitabh Bhattacharya.	Development of an Interpolated RANS-LES solver for wall-bounded turbulent fluid flows.	Computers & Fluids  267 (2023): 	106086	https://www.sciencedirect.com/science/article/pii/S0045793023003110	DOI: https://doi.org/10.1016/j.compfluid.2023.106086	[Impact Factor: 2.8]
Panda, Niladri Sekhar, Amitabh Bhattacharya, and Anupam Dewan.	Development of an Interpolated RANS-LES Solver for Turbulent Heat Transfer.	Proceedings of the 27th National and 5th International ISHMT-ASTFE Heat and Mass Transfer Conference December 14-17, 2023, IIT Patna, Patna-801106, Bihar, India. Begel House Inc., 2024.	-	https://www.dl.begellhouse.com/references/1654896405e56590,4869f8107409fb40,1ea5bf280ea122ed.html	DOI: 10.1615/IHMTC-2023.640	-
Srivastava, Amber, et al.	A Dual System-Level Parameterization for Identification from Closed-Loop Data.	2023 62nd IEEE Conference on Decision and Control (CDC). IEEE, 2023.	-	https://ieeexplore.ieee.org/abstract/document/10383298	DOI:10.1109/CDC49753.2023.10383298	-
Srivastava, Amber, Alisina Bayati, and Srinivasa Salapaka.	Sparse Linear Regression with Constraints: A Flexible Entropy-based Framework.	arXiv preprint arXiv:	2311.08342 (2023).	https://arxiv.org/abs/2311.08342	DOI: https://doi.org/10.48550/arXiv.2311.08342	-
Chen, Ran, et al.	Closed-Loop Identification of Stabilized Models Using Dual Input-Output Parameterization.	arXiv preprint arXiv:	2311.09019 (2023).	https://arxiv.org/abs/2311.09019	DOI: https://doi.org/10.48550/arXiv.2311.09019	-
Shriyam, Shaurya, Prashant Palkar, and Amber Srivastava.	On Fulfilling the Exigent Need for Automating and Modernizing Logistics Infrastructure in India: Enabling AI-based Integration, Digitalization, and Smart Automation of Industrial Parks and Robotic Warehouses.	arXiv preprint arXiv:	2310.01077 (2023).	https://arxiv.org/abs/2310.01077	DOI: https://doi.org/10.48550/arXiv.2310.01077	-
Bayati, Alisina, et al.	Towards Efficient Modularity in Industrial Drying: A Combinatorial Optimization Viewpoint.	2023 American Control Conference (ACC). IEEE, 2023.	-	https://ieeexplore.ieee.org/abstract/document/10156630	DOI: 10.23919/ACC55779.2023.10156630	-
Jaiswal, Ashutosh Kumar, Amitabh Bhattacharya, and Anupam Dewan.	Development of a Two-way Coupled Hybrid RANS-LES Scheme for.	Fluid Mechanics and Fluid Power (Vol. 2): Select Proceedings of FMFP 2021 (2023):	71	https://books.google.co.in/books?hl=en&lr=&id=MjG4EAAAQBAJ&oi=fnd&pg=PA71&dq=Jaiswal,+Ashutosh+Kumar,+Amitabh+Bhattacharya,+and+Anupam+Dewan.+%22Development+of+a+Two-way+Coupled+Hybrid+RANS-LES+Scheme+for.%22+Fluid+Mechanics+and+Fluid+Power+(Vol.+2):+Select+Proceedings+of+FMFP+2021+(2023):+71.+&ots=7Zi9dVTNub&sig=IWDyhnWfejN0HaXuo_EjGqAVJ8g&redir_esc=y#v=onepage&q=Jaiswal%2C%20Ashutosh%20Kumar%2C%20Amitabh%20Bhattacharya%2C%20and%20Anupam%20Dewan.%20%22Development%20of%20a%20Two-way%20Coupled%20Hybrid%20RANS-LES%20Scheme%20for.%22%20Fluid%20Mechanics%20and%20Fluid%20Power%20(Vol.%202)%3A%20Select%20Proc	-	-
Swarnakar, Shivam, Amitabh Bhattacharya, and Sridhar Balasubramanian.	Numerical study of rotating convection with bi-directional temperature gradients.	Physics of Fluids	35.5 (2023).	https://pubs.aip.org/aip/pof/article/35/5/056601/2887919/Numerical-study-of-rotating-convection-with-bi	DOI: https://doi.org/10.1063/5.0145965	[Impact Factor: 4.6]
Parsi, Anilkumar, et al.	Once upon a time step: A closed-loop approach to robust MPC design.	arXiv preprint arXiv:	2303.11021 (2023).	https://arxiv.org/abs/2303.11021	DOI: https://doi.org/10.48550/arXiv.2303.11021	-
Srivastava, Amber, and Srinivasa M. Salapaka.	Dynamic parameters in Sequential Decision Making.	Automatica 148 (2023):	110795	https://www.sciencedirect.com/science/article/pii/S0005109822006616	DOI: https://doi.org/10.1016/j.automatica.2022.110795	[Impact Factor: 6.4]
Srivastava, Amber, and Srinivasa M. Salapaka.	Inequality Constraints in Facility Location and Related Problems.	2022 Eighth Indian Control Conference (ICC). IEEE, 2022.	-	https://ieeexplore.ieee.org/abstract/document/10093253/	DOI: 10.1109/ICC56513.2022.10093253	[Impact Factor: 3.9]
Velicheti, Raj K., Amber Srivastava, and Srinivasa M. Salapaka.	Design of Experiments with Imputable Feature Data.	2022 Eighth Indian Control Conference (ICC). IEEE, 2022.	-	https://ieeexplore.ieee.org/abstract/document/10093593	DOI: 10.1109/ICC56513.2022.10093593	[Impact Factor: 3.9]
Rakshe, Makrand, et al.	Experimental and Numerical Studies on Liquid Bridge Stretching in Uni-port Lifted Hele-Shaw Cell for Spontaneous Fabrication of Well-Like Structures.	Conference on Fluid Mechanics and Fluid Power. Singapore: Springer Nature Singapore, 2022.	-	https://link.springer.com/chapter/10.1007/978-981-99-7177-0_40	DOI: https://doi.org/10.1007/978-981-99-7177-0_40	-
