paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Pradhan, Maheswar, Suryachandra A. Rao, and Amitabh Bhattacharya.	Towards a realistic MISO simulation: impact of rectification.	Climate Dynamics (2024)	: 1-19.	https://link.springer.com/article/10.1007/s00382-023-07053-6	DOI: https://doi.org/10.1007/s00382-023-07053-6	-
Saini, A., N. Sahu, S. K. Mishra, S. Jain, S. Behera, and S. K. Dash, 2022:	The Spatio-Temporal Onset Characteristics of Indian Summer Monsoon Rainfall and Their Relationship with Climate Indices.	Atmosphere,	13, 1581.	https://www.mdpi.com/2073-4433/13/10/1581	-	[Impact Factor: 3.1]
Agrawal, T., S. H. Peddada, and V. K. Chalamalla, 2022:	Dynamics of a buoyant gravity current propagating in a linearly stratified medium.	Physics of Fluids,	34(7), 076605.	https://pubs.aip.org/aip/pof/article/34/7/076605/2847554/Dynamics-of-a-buoyant-gravity-current-propagating	DOI:10.1063/5.0091683.	[Impact Factor: 5.0]
Kumar, R., R. Pathak, S. Sahany, and S. K. Mishra, 2023:	Indian Summer Monsoon Simulations in Successive Generations of the NCAR Community Atmosphere Model.	Theoretical and Applied Climatology,	153(3), 977-992.	https://link.springer.com/article/10.1007/s00704-023-04514-0	DOI:10.1007/s00704-023-04514-0.	[Impact Factor: 3.4]
Tewari, K., S. K. Mishra, P. Salunke, H. Ozawa and A. Dewan, 2022:	Potential Effects of the Projected Antarctic Sea-Ice Loss on the Climate System.	Climate Dynamics,	60(1-2), 589-601.	https://link.springer.com/article/10.1007/s00382-022-06320-2	DOI:10.1007/s00382-022-06320-2.	[Impact Factor: 4.9]
Zebaze, S., R. Pathak, A. J. K. Mbienda, W. M. Pokam P. Salunke, A. Anand, D. A. Vondou, A. Lenouo, and S. K. Mishra, 2022:	An Investigation into the Role of Synoptic Conditions on Central African Precipitation Variability.	Acta Geophysica,	70(2), 943-962.	https://link.springer.com/article/10.1007/s11600-022-00754-2	DOI:10.1007/s11600-022-00754-2.	[Impact Factor: 2.3]
Mishra, S., B. N. Mahapatra, S. S. Sahoo, A. Rout, and S. K. Mishra, 2021:	Energy and entropy generation analysis of hydrological cycle in tropical regions.	International Journal of Exergy (IJEX),	35(3), 327-341.	https://www.inderscience.com/info/inarticle.php?artid=115899	DOI:10.1504/IJEX.2021.115899.	[Impact Factor: 1.5]
Tewari, K., S. K. Mishra, J. Fasullo, and A. Dewan, 2021:	Impact of the Antarctic Topography on Meridional Energy Transport and its Consequential Effect in the Monsoon Circulation.	Quarterly J. of Royal Meteorological Society,	147(739), 3286-3296.	https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.4128	DOI:10.1002/qj.4128.	[Impact Factor: 7.2]
Dixit, A., S. Sahany, and A. V. Kulkarni, 2021:	Glacial changes over the Himalayan Beas basin under global warming.	Journal of Environmental Management,	295, 113101.	https://pubmed.ncbi.nlm.nih.gov/34198174/	DOI:10.1016/j.jenvman.2021.113101.	[Impact Factor: 8.9]
Pathak, R., H. P. Dasari, S. El Mhotar,A. Subramanian, S. Sahany, S. K. Mishra, O. Kino, and I. Hoteit, 2021:	Uncertainty Quantification and Bayesian Inference of Cloud Parameterization in the NCAR Single Column Community Atmosphere Model (SCAM6).	Frontiers in Climate,	3	https://www.frontiersin.org/articles/10.3389/fclim.2021.670740/full	DOI:10.3389/fclim.2021.670740.	[Impact Factor: NA]
Tewari, K., S. K. Mishra, A. Dewan, A. Anand, and In-Sik Kang, 2021:	Response of the Atmosphere to Orographic Forcings: Insight from Idealised Simulations.	Journal of the Atmospheric Sciences,		https://journals.ametsoc.org/view/journals/atsc/78/9/JAS-D-19-0335.1.xml	DOI:10.1175/JAS-D-19-0335.1.	[Impact Factor: 3.2]
Bal, P. K., H. P. Dasari, N. Prasad, P. Salunke, and R. S. Parihar, 2021:	Variations of Energy Fluxes with ENSO, IOD and ISV of Indian Summer Monsoon Rainfall over the Indian Monsoon Region.	Atmospheric Research,	258, 105645.	https://www.sciencedirect.com/science/article/pii/S0169809521001976	DOI:10.1016/j.atmosres.2021.105645.	[Impact Factor: 6.0]
Tewari, K., S. K. Mishra, A. Dewan, G. Dogra, and H. Ozawa, 2021:	Influence of the height of Antarctic ice sheet on its climate.	Polar Science,	28, 100642.	https://www.sciencedirect.com/science/article/pii/S1873965221000062	DOI:10.1016/j.polar.2021.100642.	[Impact Factor: 2.4]
Mohan, S., S. K. Mishra, S. Sahany, and S. Behera, 2021:	Long-term variability of Sea Surface Temperature in the Tropical Indian Ocean in relation to climate change and variability.	Global and Planetary Change,	199, 103436.	https://www.sciencedirect.com/science/article/pii/S0921818121000217	-	[Impact Factor: 4.9]
Jain, S., R. Chhin, R. M. Doherty, S. K. Mishra, and S. Yoden, 2021:	A New Graphical Method to Diagnose the Impacts of Model Changes on Climate Sensitivity.	Journal of the Meteorological Society of Japan,	99(2), 437-448.	https://www.jstage.jst.go.jp/article/jmsj/99/2/99_2021-021/_article/-char/en	DOI:10.2151/jmsj.2021-021.	[Impact Factor: 3.4]
Tewari, K., S. K. Mishra, A. Dewan, and H. Ozawa, 2020:	Effects of the Antarctic Elevation on the Atmospheric Circulation.	Theoretical and Applied Climatology,	143, 1487-1499.	https://link.springer.com/article/10.1007/s00704-020-03456-1	DOI:10.1007/s00704-020-03456-1.	[Impact Factor: 3.4]
Jain, S., A. Scaife, N. Dunstone, D. Smith, S. K. Mishra, 2020:	Current Chance of Unprecedented Monsoon Rainfall over India using Dynamical Ensemble Simulations.	Environmental Research Letters,	15, 9.	https://iopscience.iop.org/article/10.1088/1748-9326/ab7b98	DOI: 10.1088/1748-9326/ab7b98.	[Impact Factor: 6.9]
Pathak, R., S. Sahany, S. K. Mishra, and S. K. Dash, 2019:	Precipitation Biases in CMIP5 Models over the South Asian Region.	Scientific Reports,	9(1), 9589.	https://www.nature.com/articles/s41598-019-45907-4	DOI: 10.1038/s41598- 019-45907-4.	[Impact Factor: 5.0]
Sinclaire, Z., S. Jain, P. Salunke, S. Shafiq, and S. K. Mishra, 2019:	Assessment of CMIP5 multimodel mean for the historical climate of Africa.	Atmospheric Science Letters,	20, e926.	https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl.926	DOI: 10.1002/asl.926.	[Impact Factor: 3.0]
Sindhu, K. D., and S. Sahany, 2019:	Long-term cloud fraction biases in CMIP5 GCMs over India during monsoon season.	Theoretical and Applied Climatology,	137, 2559-2571.	https://link.springer.com/article/10.1007/s00704-018-02760-1	DOI:10.1007/s00704-018-02760-1.	[Impact Factor: 3.4]
Sahany, S., S. K. Mishra, R. Pathak, and B. Rajagopalan, 2018:	Spatio-Temporal Variability of Seasonality of Rainfall over India.	Geophysical Research Letters,	45(14), 7140-7147.	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL077932	DOI:10.1029/2018GL077932.	[Impact Factor: 5.6]
Mishra, S. K., S. Sahany, and P. Salunke, 2017:	Linkages between MJO and summer monsoon rainfall over India and surrounding region.	Meteorology and Atmospheric Physics,	129, 283–296.	https://link.springer.com/article/10.1007/s00703-016-0470-0	DOI:10.1007/s00703-016-0470-0.	[Impact Factor: 2.3]
