paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Tyagi, S., S. Sahany, D. Saraswat , S. K. Mishra, A. Dubey, and D. Niyogi, 2024:	Assessing Regional-Scale Heterogeneity in Blue-Green Water Availability under the 1.5° C Global Warming Scenario.	Journal of Applied Meteorology and Climatology,	63(4), 553-574.	https://journals.ametsoc.org/view/journals/apme/63/4/JAMC-D-23-0083.1.xml	DOI:10.1175/JAMC-D-23-0083.1.	[Impact Factor: 3.0]
Dubey, Amlendu, and Akanksha Mishra.	Anticipation of central banks' adoption of inflation targeting and its effect on inflation.	Central Bank Review	23.2 (2023): 100118.	https://www.sciencedirect.com/science/article/pii/S1303070123000136	DOI: https://doi.org/10.1016/j.cbrev.2023.100118	[Impact Factor: 2.8]
Khalid, Ahmad Mohd, Seema Sharma, and Amlendu Kumar Dubey.	Data gap analysis, indicator selection and index development: a case for developing economies.	Global Labour in Distress, Volume II: Earnings,(In) decent Work and Institutions. Cham: Springer International Publishing, 2023.	577-644. 	https://link.springer.com/chapter/10.1007/978-3-030-89265-4_27	DOI: https://doi.org/10.1007/s11205-019- 02225-6	-
Dubey, Amlendu, and Juhi Lohani.	Inflation targeting and price behaviour: evidence from India.	Indian Economic Review	57.2 (2022): 265-284.	https://link.springer.com/article/10.1007/s41775-022-00148-7	DOI: https://doi.org/10.1007/s41775-022-00148-7	-
Shrawan, Aakanksha, and Amlendu Dubey.	Dynamics of structural transformation and business cycle synchronization: a panel quantile regression approach for India.	Applied Economics	55.52 (2023): 6170-6186.	https://www.tandfonline.com/doi/full/10.1080/00036846.2022.2141461	DOI: https://doi.org/10.1080/00036846.2022.2141461	[Impact Factor: 2.2]
Mishra, Akanksha, and Amlendu Dubey.	Inflation targeting and its spillover effects on financial stability in emerging market economies.	Journal of Policy Modeling 44.6 (2022):	1198-1218.	https://www.sciencedirect.com/science/article/pii/S0161893822000941	DOI: https://doi.org/10.1016/j.jpolmod.2022.10.003	[Impact Factor: 3.5]
Nachane, Dilip M., and Amlendu Dubey.	The spectral envelope: An application to the decoupling problem in economics.	Journal of Quantitative Economics 19 (2021):	287-308.	https://link.springer.com/article/10.1007/s40953-021-00272-w	DOI: https://doi.org/10.1007/s40953-021-00272-w	[Impact Factor: 0.7]
Shrawan, Aakanksha, and Amlendu Dubey.	A reassessment of the relationship between services and economic growth in low-income and lower-middle income countries: a non- linear approach. 	Applied Economics 54.33 (2022):	3795-3810.	https://www.tandfonline.com/doi/full/10.1080/00036846.2021.1990847	DOI: https://doi.org/10.1080/00036846.2021.1990847	[Impact Factor: 2.2]
Shrawan, Aakanksha, and Amlendu Dubey.	Technology intensive trade and business cycle synchronisation: Evidence from a panel threshold regression model for India.	The Journal of International Trade & Economic Development 30.6 (2021):	906-929.	https://www.tandfonline.com/doi/full/10.1080/09638199.2021.1918224	DOI: https://doi.org/10.1080/09638199.2021.1918224	[Impact Factor: 2.1]
Khalid, Ahmad Mohd, S. Sharma, and A. K. Dubey.	Some methodological issues in India’s SDG index report 2019.	Econ. Polit. Wkly	55.32-33 (2020).	https://www.epw.in/journal/2020/32-33/commentary/some-methodological-issues-indias-sdg-index-report.html?0=ip_login_no_cache%3D85fdc35214c5f5b39ee08aece4f9ac26	Link to the Paper	-
